TestKit ID,Box IDN,Box Position 1,Vial IDN 1,Box Position 2,Vial IDN 2,Box Position 3,Vial IDN 3
117M18EB9EDCFA8FAL,B0000000001,1,L0000000563,2,L0000000957,3,L0000000609
117M18E27AFDE2752E,B0000000001,4,L0000000568,5,L0000000919,6,L0000000612
117M18F1AAE10B9ETI,B0000000001,7,L0000000614,8,L0000000557,9,L0000000543
117M18F162665D9ENS,B0000000001,10,L0000000655,11,L0000000619,12,L0000000915
117M18F162665C34ZJ,B0000000001,13,L0000000551,14,L0000000562,15,L0000000653
117M18F1A99B3389CL,B0000000001,16,L0000000941,17,L0000000652,18,L0000000570
117M18F1AAE0FD712E,B0000000001,19,L0000000549,20,L0000000951,21,L0000000608
117M18F1624900C45F,B0000000001,22,L0000000981,23,L0000000550,24,L0000000992
117M18F16248D48DOU,B0000000001,25,L0000000955,26,L0000000559,27,L0000000602
117M1914F1A79F90S4,B0000000276,43,L0000022219,44,L0000028541,45,L0000021983
117M1914F1A74FF1JI,B0000000276,46,L0000021944,47,L0000021395,48,L0000022117
117M191A63625DBBRM,B0000000276,49,L0000021905,50,L0000021399,51,L0000021298
117M1914F1A74E9EKB,B0000000276,52,L0000022004,53,L0000021258,54,L0000021404
117M1914F1A7BC5EMX,B0000000276,55,L0000021356,56,L0000021355,57,L0000022147
117M1914F1A74F3BSP,B0000000276,58,L0000021284,59,L0000021380,60,L0000021663
117M1914F1A74CDECD,B0000000276,61,L0000021401,62,L0000021782,63,NES
117M1914F1A74F73UB,B0000000276,64,L0000021102,65,L0000021241,66,L0000021374
117M1914F1A7BEEB0L,B0000000276,67,L0000021266,68,L0000021177,69,L0000021158
117M1914F1A79A7AM9,B0000000276,70,L0000025499,71,L0000021777,72,L0000021699
